,0,1,2,3,4,5,6,output
664,130,130,130,130,130,130,130,0
665,130,130,130,130,130,130,130,0
666,130,130,130,130,130,130,130,0
667,73,73,73,73,73,73,73,0
668,73,73,73,73,73,73,73,0
669,73,73,73,73,73,73,130,0
670,73,73,73,73,73,130,130,0
671,73,73,73,73,73,73,73,0
672,73,73,73,73,73,73,73,0
673,73,73,73,73,73,73,130,0
674,73,73,73,73,73,130,130,0
675,73,73,73,73,73,73,73,0
676,73,73,73,73,73,73,73,0
677,73,73,73,73,73,73,130,0
678,73,73,73,73,73,130,130,0
679,73,73,73,73,73,73,73,0
680,73,73,73,73,73,73,36,0
681,73,73,73,36,130,130,36,0
682,73,73,36,130,130,36,36,0
683,130,130,36,36,130,130,36,0
684,130,36,36,130,130,36,36,0
685,130,130,36,36,130,130,36,0
686,130,36,36,130,130,36,36,0
687,130,130,36,36,130,130,36,0
688,130,36,36,130,130,36,36,0
689,130,130,36,36,130,130,36,0
690,130,36,36,130,130,36,36,0
691,130,130,36,36,130,130,36,0
692,130,36,36,130,130,36,36,0
693,130,130,36,36,130,130,36,0
694,130,36,36,130,130,36,36,0
695,130,130,36,36,130,130,36,0
696,130,36,36,130,130,36,36,0
697,130,130,36,36,130,130,36,0
698,130,36,36,130,130,36,36,0
699,130,130,36,36,130,130,36,0
700,130,36,36,130,130,36,36,0
701,130,130,36,36,130,130,36,0
702,130,36,36,130,130,36,36,0
703,130,130,36,36,130,130,36,0
704,130,36,36,130,130,36,36,0
705,130,130,36,36,130,130,36,0
706,130,36,36,130,130,36,36,0
707,130,130,36,36,130,130,36,0
708,130,36,36,130,130,36,36,0
709,130,130,36,36,130,130,36,0
710,130,36,36,130,130,36,36,0
711,36,130,130,36,36,130,130,0
712,130,130,36,36,130,130,36,0
713,130,36,36,130,130,36,130,0
714,36,36,130,130,36,130,130,0
715,73,73,73,73,73,73,73,0
716,73,73,73,73,73,73,36,0
717,73,73,73,36,130,130,36,0
718,73,73,36,130,130,36,36,0
719,130,130,36,36,130,130,36,0
720,130,36,36,130,130,36,36,0
721,130,130,36,36,130,130,36,0
722,130,36,36,130,130,36,36,0
723,130,130,36,36,130,130,36,0
724,130,36,36,130,130,36,36,0
725,130,130,36,36,130,130,36,0
726,130,36,36,130,130,36,36,0
727,130,130,36,36,130,130,36,0
728,130,36,36,130,130,36,36,0
729,130,130,36,36,130,130,36,0
730,130,36,36,130,130,36,36,0
731,130,130,36,36,130,130,36,0
732,130,36,36,130,130,36,36,0
733,130,130,36,36,130,130,36,0
734,130,36,36,130,130,36,36,0
735,130,130,36,36,130,130,36,0
736,130,36,36,130,130,36,36,0
737,130,130,36,36,130,130,36,0
738,130,36,36,130,130,36,36,0
739,130,130,36,36,130,130,36,0
740,130,36,36,130,130,36,36,0
741,130,130,36,36,130,130,36,0
742,130,36,36,130,130,36,36,0
743,130,130,36,36,130,130,36,0
744,130,36,36,130,130,36,36,0
745,130,130,36,36,130,130,36,0
746,130,36,36,130,130,36,36,0
747,130,130,36,36,130,130,36,0
748,130,36,36,130,130,36,36,0
749,36,130,130,36,36,130,130,0
750,130,130,36,36,130,130,36,0
751,36,36,130,130,36,130,130,0
752,130,130,36,130,130,36,130,0
753,36,130,130,36,130,36,130,0
754,130,36,130,36,130,36,130,0
755,136,99,21,118,108,135,93,0
756,126,126,126,126,126,126,126,0
757,126,126,126,126,126,126,36,0
758,126,126,126,36,130,130,36,0
759,126,126,36,130,130,36,36,0
760,130,130,36,36,130,130,36,0
761,130,36,36,130,130,36,36,0
762,130,130,36,36,130,130,36,0
763,130,36,36,130,130,36,36,0
764,130,130,36,36,130,130,36,0
765,130,36,36,130,130,36,36,0
766,130,130,36,36,130,130,36,0
767,130,36,36,130,130,36,36,0
768,130,130,36,36,130,130,36,0
769,130,36,36,130,130,36,36,0
770,130,130,36,36,130,130,36,0
771,130,36,36,130,130,36,36,0
772,130,130,36,36,130,130,36,0
